review,stemmed_review,final_login_verifikasi,final_efisiensi,final_layanan_pengguna,final_responsivitas
"ko ga bisa masuk ke privyid ya,udah di pencet berkali-kali masih tetap tidak bisa masuk ya ke halaman utamanya ya.","['masuk', 'yaudah', 'pencet', 'berkalikali', 'masuk', 'ya', 'halaman', 'utama', 'ya']",1,0,0,0
"Bikin susah driver, data gk sesuai terus. Aplikasi masih banyak bug nya gini mau di pake buat ttd digital","['bikin', 'susah', 'driver', 'data', 'sesuai', 'bug', 'nya', 'pakai', 'ttd', 'digital']",0,1,0,1
"Kami adalah PrivyID, penyedia tanda tangan digital bersertifikat yang dipercaya oleh Samir untuk menerbitkan tanda tangan digital Anda. PrivyID akan memudahkan Anda dalam proses penandatanganan perjanjian/dokumen apapun yang nantinya perlu Anda setujui dengan Samir. Bersama dengan email ini, kami ingin menginformasikan bahwa saat ini kami belum dapat menerbitkan PrivyID Anda karena Dokumen Identitas diragukan keabsahannya.  Orang mau minjem di persulit,,GK jelas!!!!!!!!!!!!!!","['sedia', 'tanda', 'tangan', 'digital', 'sertifikat', 'percaya', 'samir', 'terbit', 'tanda', 'tangan', 'digital', 'mudah', 'proses', 'penandatanganan', 'perjanjiandokumen', 'apa', 'tuju', 'samir', 'email', 'informasi', 'terbit', 'dokumen', 'identitas', 'ragu', 'absah', 'orang', 'minjem', 'persulitgk']",0,1,0,0
"Berat banget nih aplikasi, optimasi lah seengaknya, developernya gimana sih, QA nya juga gimana si... Mau tanda tangan aja lamanya bukan main buat loadnya...","['berat', 'banget', 'nih', 'optimasi', 'seengaknya', 'developer', 'sih', 'qa', 'nya', 'sih', 'tanda', 'tangan', 'main', 'loadnya']",0,0,0,1
Aplikasi tolol kode otp ga dikirim-kirim,"['tolol', 'kode', 'otp', 'dikirimkirim']",1,0,0,0
Aplikasi sangat membantu dan mudah untuk pengoprasiannya.,"['bantu', 'mudah', 'pengoprasiannya']",0,2,0,0
tolong di perbaiki lagi apk nya sulit banget mau bikin akun aja lama muter muter mulu mau verifikasi wajah kaga bisa gimna ini tolong ya di perbaiki lagi kalo bikin apk,"['tolong', 'baik', 'apk', 'nya', 'sulit', 'banget', 'bikin', 'akun', 'muter', 'muter', 'mulu', 'verifikasi', 'wajah', 'kagak', 'tolong', 'ya', 'baik', 'kalo', 'bikin', 'apk']",1,0,0,1
Apk berguna dan simple,"['apk', 'guna', 'simple']",0,2,0,0
Materi sangat berguna,"['materi', 'guna']",0,2,0,0
"Aplikasi busuk, kendalan terus tp penilaiannya bagus. Jadi tanda tanya bgt pasti buzzer! Benerin tuh aplikasi jangan malah bikin film Marshall!","['busuk', 'kendal', 'nilai', 'bagus', 'tanda', 'banget', 'buzzer', 'benerin', 'tuh', 'bikin', 'film', 'marshall']",0,0,0,1
Baru beli e-materai tp tidak bs di pakai,"['beli', 'ematerai', 'pakai']",0,1,0,0
"Sudah bisa tandatangan digital dengan mudah dan simpel cara penggunaanya., terima kasih.","['tandatangan', 'digital', 'mudah', 'simpel', 'penggunaanya', 'terima', 'kasih']",0,2,0,0
Pelayanan yang buruk,"['layan', 'buruk']",0,0,1,0
Sulit sangat sulit verifikasi. Data udah sesuai dengan capil. Tapi dibilang aplikasi data tidak sesuai. Aneh.,"['sulit', 'sulit', 'verifikasi', 'data', 'sesuai', 'capil', 'bilang', 'data', 'sesuai', 'aneh']",1,0,0,0
"yang lagi cari aplikasi yang bisa bantu buat ttd digital, ya privy ini solusinya. Gampang kok langkah-langkahnya","['cari', 'bantu', 'ttd', 'digital', 'ya', 'solusi', 'gampang', 'langkahlangkahnya']",0,2,0,0
Mantapp bangett applikasi ini sangat memudahkan untuk aku yang sering ada job yang pakai ttd online 💗💗💗,"['mantap', 'banget', 'mudah', 'job', 'pakai', 'ttd', 'online']",0,2,0,0
"Rekomen deh buat kalian yang ngk mau ribet end ingin satset pake apk ini aj tanda tangan oke, e materai juga oke pokoknya terbaek dah","['rekomen', 'deh', 'ribet', 'end', 'satset', 'pakai', 'apk', 'tanda', 'tangan', 'oke', 'e', 'materai', 'oke', 'pokok', 'terbaek', 'deh']",0,2,0,0
"So far aku sih puas banget pake app privy ini, kau tandatangan digital jadi satset ga pake lama 🫶","['sok', 'far', 'sih', 'puas', 'banget', 'pakai', 'app', 'kau', 'tandatangan', 'digital', 'satset', 'pakai']",0,2,0,0
Bintang 2 dulu... disuruh verifikasi wajah lama banget..ga bisa2 .. gagal2 terus.. padahal sudah memenuhi syarat,"['bintang', 'suruh', 'verifikasi', 'wajah', 'bangetga', 'gagal', 'penuh', 'syarat']",1,0,0,0
"Aplikasi nya membantu bangett, yang biasanya bikin di website sekarang jadi lebih gampang pake aplikasi inii. Aplikasi nya gampang dipahamin ga ribet sama sekali","['nya', 'bantu', 'banget', 'bikin', 'website', 'gampang', 'pakai', 'nya', 'gampang', 'dipahamin', 'ribet']",0,2,0,0
Terbaik sih pake aplikasi ini jadi mudah buat ttd elektronik 🥰😍👍🏻,"['baik', 'sih', 'pakai', 'mudah', 'ttd', 'elektronik']",0,2,0,0
Kont.. mau ttd dok hrus aktifin prvy personal dan mai aktifin gabisa.. respon cs jga buruk. Kon,"['kont', 'ttd', 'dok', 'aktifin', 'prvy', 'personal', 'aktifin', 'enggak bisa', 'respon', 'cs', 'buruk', 'kon']",0,1,0,1
"bintang 5 ⭐️⭐️⭐️⭐️⭐️ aplikasi bintang 5 ⭐️⭐️⭐️⭐️⭐️ aplikasi privy nya, ngebantu banget buat yg mau ttd online sangat di permudah. aplikasinya juga kecil","['bintang', 'bintang', 'nya', 'bantu', 'banget', 'ttd', 'online', 'mudah', 'aplikasi']",0,2,0,0
Eh beneran keren nih mantap punya nih apalagi cepet banget ttd dokumen gak pake lemot,"['eh', 'benar', 'keren', 'nih', 'mantap', 'nih', 'cepat', 'banget', 'ttd', 'dokumen', 'pakai', 'lot']",0,2,0,2
"Aplikasi yang sangat bagus,memudahkan berbagai aktivitas","['bagusmemudahkan', 'aktivitas']",0,2,0,0
"Aplikasinya gampang banget digunain sih, untuk orang awampun pasti ngerti dan mudah banget lah gunainnya.. privy emang best 🔥","['aplikasi', 'gampang', 'banget', 'digunain', 'sih', 'orang', 'awam', 'erti', 'mudah', 'banget', 'gunainnya', 'best']",0,2,0,0
"bener bener sangat bermanfaat banget, worth to try karena memudahkan buat ttd","['manfaat', 'banget', 'worth', 'try', 'mudah', 'ttd']",0,2,0,0
good app!! jadi mudah deh tiap ada urusan administrasi kantor mantap👍,"['good', 'app', 'mudah', 'deh', 'urus', 'administrasi', 'kantor', 'mantap']",0,2,0,0
"keren banget dan gak ribet, 10/10!","['keren', 'banget', 'ribet']",0,2,0,0
"Jelas kasih bintang ⭐⭐⭐⭐⭐, aplikasi nya mudah banget di gunain, g ribet lagi. Pokoknya ttd digital jadi sesimpel ini pakai Privy","['kasih', 'bintang', 'nya', 'mudah', 'banget', 'gunain', 'ribet', 'pokok', 'ttd', 'digital', 'simpel', 'pakai']",0,2,0,0
"Terimakasih, aplikasi sudah bisa download dokumen","['terimakasih', 'download', 'dokumen']",0,2,0,0
kok apk nya susah banget dibukanya,"['apk', 'nya', 'susah', 'banget', 'buka']",0,0,0,1
"akhirnyaaaa dapet apk bagus buat TTD elektronik, pokoknya recommended bgtt sihhh apknya iniii","['akhirnyaaaa', 'apk', 'bagus', 'ttd', 'elektronik', 'pokok', 'recommended', 'banget', 'sih', 'apknya']",0,2,0,0
good privy! aplikasinya sangat membantu buat keperluan administrasi beli e-materai dan buat ttd elektronik👍👍,"['good', 'aplikasi', 'bantu', 'perlu', 'administrasi', 'beli', 'ematerai', 'ttd', 'elektronik']",0,2,0,0
Waoow . Sangat rekomen ttd digital jadi lebih mudah gak perlu ribet 🥰,"['waoow', 'rekomen', 'ttd', 'digital', 'mudah', 'ribet']",0,2,0,0
"Pake privy ttd elektronik semakin mudah, bener membantu banget, aplikasinya juga friendly banget, mudah dipahami, pokoknya oke punya😍","['pakai', 'ttd', 'elektronik', 'mudah', 'bantu', 'banget', 'aplikasi', 'friendly', 'banget', 'mudah', 'paham', 'pokok', 'oke']",0,2,0,0
"Aplikasinya bagus, mempermudah utk ttd online","['aplikasi', 'bagus', 'mudah', 'ttd', 'online']",0,2,0,0
sangat mudah digunakan & membuat urusan administrasi saya sebagai anak kantoran jadi lebih cepat kelar! kalo ada opsi ngasih bintang 100 mah bakal saya kasih! Puas pol,"['mudah', 'urus', 'administrasi', 'anak', 'kantor', 'cepat', 'kelar', 'kalo', 'opsi', 'asih', 'bintang', 'mah', 'kasih', 'puas', 'pol']",0,2,0,0
