at,review
2024-11-16 12:07:06,"ko ga bisa masuk ke privyid ya,udah di pencet berkali-kali masih tetap tidak bisa masuk ya ke halaman utamanya ya."
2024-11-15 11:01:24,"Bikin susah driver, data gk sesuai terus. Aplikasi masih banyak bug nya gini mau di pake buat ttd digital"
2024-11-14 06:48:39,"Kami adalah PrivyID, penyedia tanda tangan digital bersertifikat yang dipercaya oleh Samir untuk menerbitkan tanda tangan digital Anda. PrivyID akan memudahkan Anda dalam proses penandatanganan perjanjian/dokumen apapun yang nantinya perlu Anda setujui dengan Samir. Bersama dengan email ini, kami ingin menginformasikan bahwa saat ini kami belum dapat menerbitkan PrivyID Anda karena Dokumen Identitas diragukan keabsahannya.  Orang mau minjem di persulit,,GK jelas!!!!!!!!!!!!!!"
2024-11-13 12:28:02,"Berat banget nih aplikasi, optimasi lah seengaknya, developernya gimana sih, QA nya juga gimana si... Mau tanda tangan aja lamanya bukan main buat loadnya..."
2024-11-12 21:28:54,Aplikasi tolol kode otp ga dikirim-kirim
2024-11-11 09:47:35,Aplikasi sangat membantu dan mudah untuk pengoprasiannya.
2024-11-11 01:26:51,tolong di perbaiki lagi apk nya sulit banget mau bikin akun aja lama muter muter mulu mau verifikasi wajah kaga bisa gimna ini tolong ya di perbaiki lagi kalo bikin apk
2024-11-08 08:57:07,Apk berguna dan simple
2024-11-03 10:26:14,Materi sangat berguna
2024-11-01 10:45:15,"Aplikasi busuk, kendalan terus tp penilaiannya bagus. Jadi tanda tanya bgt pasti buzzer! Benerin tuh aplikasi jangan malah bikin film Marshall!"
2024-11-01 07:35:11,Baru beli e-materai tp tidak bs di pakai
2024-11-01 03:38:37,"Sudah bisa tandatangan digital dengan mudah dan simpel cara penggunaanya., terima kasih."
2024-11-01 01:38:38,Pelayanan yang buruk
2024-10-30 07:06:06,Sulit sangat sulit verifikasi. Data udah sesuai dengan capil. Tapi dibilang aplikasi data tidak sesuai. Aneh.
2024-10-30 06:42:12,"yang lagi cari aplikasi yang bisa bantu buat ttd digital, ya privy ini solusinya. Gampang kok langkah-langkahnya"
2024-10-30 04:34:42,Mantapp bangett applikasi ini sangat memudahkan untuk aku yang sering ada job yang pakai ttd online 💗💗💗
2024-10-30 03:32:13,"Rekomen deh buat kalian yang ngk mau ribet end ingin satset pake apk ini aj tanda tangan oke, e materai juga oke pokoknya terbaek dah"
2024-10-30 03:22:48,"So far aku sih puas banget pake app privy ini, kau tandatangan digital jadi satset ga pake lama 🫶"
2024-10-29 05:59:35,Bintang 2 dulu... disuruh verifikasi wajah lama banget..ga bisa2 .. gagal2 terus.. padahal sudah memenuhi syarat
2024-10-29 05:01:58,"Aplikasi nya membantu bangett, yang biasanya bikin di website sekarang jadi lebih gampang pake aplikasi inii. Aplikasi nya gampang dipahamin ga ribet sama sekali"
2024-10-29 04:09:15,Terbaik sih pake aplikasi ini jadi mudah buat ttd elektronik 🥰😍👍🏻
2024-10-29 03:01:16,Kont.. mau ttd dok hrus aktifin prvy personal dan mai aktifin gabisa.. respon cs jga buruk. Kon
