review,stemmed_review,login_verifikasi_1,login_verifikasi_2,login_verifikasi_3,final_login_verifikasi,efisiensi_1,efisiensi_2,efisiensi_3,final_efisiensi,layanan_pengguna_1,layanan_pengguna_2,layanan_pengguna_3,final_layanan_pengguna,responsivitas_1,responsivitas_2,responsivitas_3,final_responsivitas
"ko ga bisa masuk ke privyid ya,udah di pencet berkali-kali masih tetap tidak bisa masuk ya ke halaman utamanya ya.","['masuk', 'yaudah', 'pencet', 'berkalikali', 'masuk', 'ya', 'halaman', 'utama', 'ya']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
APK PAN SUSAH KALI VERIFIKASI WAJAH KTL,"['apk', 'susah', 'kali', 'verifikasi', 'wajah', 'ktl']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bikin susah driver, data gk sesuai terus. Aplikasi masih banyak bug nya gini mau di pake buat ttd digital","['bikin', 'susah', 'driver', 'data', 'sesuai', 'bug', 'nya', 'pakai', 'ttd', 'digital']",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"VIDA Aplikasi sangat bermanfaat, is the best.. Terimakasih dan Sukses selalu","['manfaat', 'is', 'the', 'best', 'terimakasih', 'sukses']",0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0
"Kami adalah PrivyID, penyedia tanda tangan digital bersertifikat yang dipercaya oleh Samir untuk menerbitkan tanda tangan digital Anda. PrivyID akan memudahkan Anda dalam proses penandatanganan perjanjian/dokumen apapun yang nantinya perlu Anda setujui dengan Samir. Bersama dengan email ini, kami ingin menginformasikan bahwa saat ini kami belum dapat menerbitkan PrivyID Anda karena Dokumen Identitas diragukan keabsahannya.  Orang mau minjem di persulit,,GK jelas!!!!!!!!!!!!!!","['sedia', 'tanda', 'tangan', 'digital', 'sertifikat', 'percaya', 'samir', 'terbit', 'tanda', 'tangan', 'digital', 'mudah', 'proses', 'penandatanganan', 'perjanjiandokumen', 'apa', 'tuju', 'samir', 'email', 'informasi', 'terbit', 'dokumen', 'identitas', 'ragu', 'absah', 'orang', 'minjem', 'persulitgk']",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"Berat banget nih aplikasi, optimasi lah seengaknya, developernya gimana sih, QA nya juga gimana si... Mau tanda tangan aja lamanya bukan main buat loadnya...","['berat', 'banget', 'nih', 'optimasi', 'seengaknya', 'developer', 'sih', 'qa', 'nya', 'sih', 'tanda', 'tangan', 'main', 'loadnya']",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Aplikasi tolol kode otp ga dikirim-kirim,"['tolol', 'kode', 'otp', 'dikirimkirim']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Keren apknya. Manfaatnya n fungsinya juga banyak.,"['keren', 'apknya', 'manfaat', 'n', 'fungsi']",0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0
Aplikasi sangat membantu dan mudah untuk pengoprasiannya.,"['bantu', 'mudah', 'pengoprasiannya']",0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0
tolong di perbaiki lagi apk nya sulit banget mau bikin akun aja lama muter muter mulu mau verifikasi wajah kaga bisa gimna ini tolong ya di perbaiki lagi kalo bikin apk,"['tolong', 'baik', 'apk', 'nya', 'sulit', 'banget', 'bikin', 'akun', 'muter', 'muter', 'mulu', 'verifikasi', 'wajah', 'kagak', 'tolong', 'ya', 'baik', 'kalo', 'bikin', 'apk']",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
